企业ID,行业名称,经营年份,注册金额（万元）,所在城市,城市等级,企业信用评分,月均营收（万元）,月均成本（万元）,员工人数,是否通过贷款,零售品类,门店面积（㎡）,月均客流量（人）
RETL-202512-546421,零售行业,3.0,177.8,阜阳,三线及以下,301.0,231.6,191.7,26,拒绝,生鲜零售,430.3,5465
RETL-202512-310089,零售行业,15.0,317.9,常州,三线及以下,668.0,550.4,379.9,81,通过,家电零售,1176.5,47649
RETL-202512-257022,零售行业,11.0,402.1,保定,三线及以下,346.0,44.6,27.5,43,拒绝,便利店,59.0,5113
RETL-202512-450654,零售行业,14.0,176.2,青岛,二线城市,388.0,154.3,114.7,20,通过,服饰零售,609.0,6917
RETL-202512-357322,零售行业,9.0,283.0,济南,二线城市,665.0,120.0,92.6,13,通过,家电零售,429.2,8149
RETL-202512-947131,零售行业,6.0,306.2,广州,一线城市,454.0,347.2,289.0,42,通过,服饰零售,273.2,7590
RETL-202512-859700,零售行业,1.0,423.0,北京,一线城市,362.0,368.4,286.0,42,通过,便利店,156.5,9170
RETL-202512-290802,零售行业,5.0,398.0,天津,新一线城市,319.0,65.4,43.9,32,通过,综合商超,94.0,4152
RETL-202512-853030,零售行业,2.0,459.7,常州,三线及以下,360.0,293.4,222.7,56,通过,美妆零售,125.1,9774
RETL-202512-991110,零售行业,12.0,297.8,保定,三线及以下,832.0,115.6,73.0,42,通过,家电零售,419.5,4600
RETL-202512-765675,零售行业,9.0,365.5,唐山,三线及以下,729.0,1200.0,776.2,87,通过,服饰零售,1287.2,27821
RETL-202512-510280,零售行业,,196.0,长沙,二线城市,534.0,148.0,101.6,50,拒绝,家电零售,683.2,7175
RETL-202512-037624,零售行业,4.0,165.6,邯郸,三线及以下,312.0,429.7,264.2,31,通过,美妆零售,164.4,3351
RETL-202512-251878,零售行业,11.0,70.9,泉州,三线及以下,738.0,678.0,433.7,101,通过,服饰零售,975.3,34369
RETL-202512-007266,零售行业,7.0,404.3,苏州,新一线城市,529.0,184.8,146.2,53,通过,美妆零售,402.0,3178
RETL-202512-639107,零售行业,9.0,365.5,天津,新一线城市,926.0,388.6,242.8,10,通过,服饰零售,606.5,9656
RETL-202512-458190,零售行业,13.0,326.0,上海,一线城市,300.0,123.7,93.3,25,拒绝,服饰零售,469.1,5989
RETL-202512-695776,零售行业,,393.6,阜阳,三线及以下,474.0,158.3,127.5,49,通过,综合商超,176.9,8225
RETL-202512-673177,零售行业,1.0,408.4,济南,二线城市,767.0,390.7,241.6,52,通过,家电零售,729.2,7159
RETL-202512-507828,零售行业,6.0,189.0,盐城,三线及以下,871.0,678.5,515.6,80,拒绝,便利店,1301.6,44894
RETL-202512-954590,零售行业,1.0,163.8,大连,二线城市,856.0,49.2,32.3,54,通过,文具零售,50.0,6549
RETL-202512-171516,零售行业,11.0,379.7,保定,三线及以下,603.0,187.7,212.5,17,通过,综合商超,745.1,4357
RETL-202512-247719,零售行业,3.0,477.7,潍坊,三线及以下,904.0,308.0,220.8,55,通过,生鲜零售,232.6,4817
RETL-202512-261898,零售行业,7.0,474.3,盐城,三线及以下,658.0,91.4,62.9,59,拒绝,生鲜零售,382.0,9882
RETL-202512-028347,零售行业,3.0,324.2,成都,新一线城市,618.0,259.3,191.6,37,通过,综合商超,564.1,6460
RETL-202512-560192,零售行业,8.0,62.3,宁波,二线城市,349.0,303.1,217.2,60,通过,便利店,201.1,7372
RETL-202512-723754,零售行业,3.0,96.6,阜阳,三线及以下,828.0,66.7,44.4,22,通过,文具零售,131.0,8323
RETL-202512-398133,零售行业,12.0,89.1,泉州,三线及以下,312.0,302.6,200.0,23,通过,便利店,521.0,1554
RETL-202512-061997,零售行业,4.0,121.1,广州,一线城市,637.0,80.8,65.5,30,通过,家电零售,74.7,8951
RETL-202512-933934,零售行业,15.0,420.4,阜阳,三线及以下,656.0,218.6,182.8,47,通过,服饰零售,43.4,6011
RETL-202512-389763,零售行业,,198.8,宁波,二线城市,708.0,152.5,93.9,7,通过,服饰零售,275.2,2191
RETL-202512-926366,零售行业,9.0,190.9,深圳,一线城市,872.0,311.5,209.3,24,通过,美妆零售,509.8,9393
RETL-202512-753761,零售行业,10.0,322.0,上海,一线城市,312.0,398.5,279.5,27,通过,美妆零售,150.0,9209
RETL-202512-123579,零售行业,1.0,210.6,常州,三线及以下,327.0,700.0,476.0,88,通过,家电零售,1419.5,25352
RETL-202512-508427,零售行业,7.0,212.9,广州,一线城市,593.0,846.0,536.0,87,拒绝,文具零售,1353.2,42397
RETL-202512-382661,零售行业,5.0,118.9,潍坊,三线及以下,381.0,780.6,609.3,120,通过,服饰零售,1072.4,47712
RETL-202512-364505,零售行业,5.0,438.1,保定,三线及以下,859.0,186.2,134.9,50,拒绝,家电零售,346.6,4237
RETL-202512-377365,零售行业,4.0,64.6,武汉,新一线城市,676.0,297.4,201.5,29,通过,家电零售,276.1,6980
RETL-202512-708735,零售行业,15.0,161.4,重庆,新一线城市,574.0,233.4,144.6,6,通过,便利店,757.9,1820
RETL-202512-195699,零售行业,4.0,221.2,常州,三线及以下,783.0,237.8,185.0,52,拒绝,综合商超,333.6,6557
RETL-202512-714008,零售行业,10.0,299.1,常州,三线及以下,444.0,337.6,240.0,22,通过,文具零售,529.1,1616
RETL-202512-117522,零售行业,10.0,173.2,盐城,三线及以下,441.0,86.3,61.7,26,通过,文具零售,121.5,8380
RETL-202512-347858,零售行业,11.0,118.1,杭州,新一线城市,913.0,185.1,117.5,47,通过,便利店,489.2,6645
RETL-202512-602276,零售行业,7.0,124.0,大连,二线城市,729.0,12.5,10.0,14,通过,便利店,767.1,6514
RETL-202512-800196,零售行业,7.0,126.4,保定,三线及以下,689.0,140.8,87.2,44,通过,美妆零售,64.5,6897
RETL-202512-363544,零售行业,9.0,483.8,苏州,新一线城市,926.0,,,8,通过,生鲜零售,390.4,6077
RETL-202512-985802,零售行业,2.0,94.6,济南,二线城市,405.0,306.1,219.8,46,通过,家电零售,533.0,1152
RETL-202512-284847,零售行业,11.0,288.2,沈阳,二线城市,622.0,137.2,97.8,13,通过,文具零售,623.0,2785
RETL-202512-810647,零售行业,12.0,442.6,常州,三线及以下,685.0,50.3,36.3,24,通过,服饰零售,561.3,8857
RETL-202512-183644,零售行业,13.0,30.4,阜阳,三线及以下,605.0,329.0,227.1,41,通过,文具零售,224.3,9373
RETL-202512-682125,零售行业,3.0,374.5,深圳,一线城市,377.0,213.6,159.6,48,通过,美妆零售,679.4,6628
RETL-202512-767287,零售行业,1.0,113.2,济南,二线城市,369.0,92.2,62.1,21,通过,美妆零售,640.6,3869
RETL-202512-573980,零售行业,9.0,373.5,沈阳,二线城市,901.0,156.8,129.6,60,通过,服饰零售,404.9,8898
RETL-202512-774643,零售行业,12.0,391.1,广州,一线城市,507.0,936.9,646.0,118,拒绝,家电零售,876.1,45696
RETL-202512-775803,零售行业,2.0,208.2,苏州,新一线城市,363.0,355.4,288.6,21,拒绝,生鲜零售,549.9,1777
RETL-202512-334421,零售行业,11.0,288.9,宁波,二线城市,893.0,273.5,199.1,52,通过,便利店,537.3,5649
RETL-202512-098039,零售行业,12.0,414.1,武汉,新一线城市,478.0,99.7,68.3,50,通过,便利店,726.5,5536
RETL-202512-111724,零售行业,10.0,311.0,济南,二线城市,849.0,193.2,121.9,58,通过,综合商超,501.0,2008
RETL-202512-495166,零售行业,10.0,113.6,深圳,一线城市,807.0,267.1,200.8,41,通过,便利店,163.3,9791
RETL-202512-287064,零售行业,2.0,218.6,广州,一线城市,927.0,147.1,111.1,17,通过,家电零售,60.0,6096
RETL-202512-925271,零售行业,4.0,296.7,青岛,二线城市,538.0,261.5,219.0,16,通过,生鲜零售,600.5,3608
RETL-202512-834281,零售行业,,443.6,沈阳,二线城市,725.0,372.8,281.8,57,通过,家电零售,326.2,4698
RETL-202512-673855,零售行业,,426.4,深圳,一线城市,734.0,93.8,66.0,28,通过,家电零售,112.7,8117
RETL-202512-651458,零售行业,12.0,230.4,北京,一线城市,500.0,316.1,254.3,19,通过,生鲜零售,466.7,8725
RETL-202512-906894,零售行业,12.0,170.1,潍坊,三线及以下,601.0,31.7,26.6,28,通过,美妆零售,542.8,7878
RETL-202512-907076,零售行业,10.0,490.7,广州,一线城市,334.0,659.7,399.0,110,通过,服饰零售,1467.4,33550
RETL-202512-476103,零售行业,15.0,248.4,泉州,三线及以下,497.0,437.7,349.4,58,通过,文具零售,376.0,1268
RETL-202512-475096,零售行业,8.0,385.4,邯郸,三线及以下,514.0,373.6,265.4,22,通过,综合商超,41.7,9422
RETL-202512-346298,零售行业,11.0,377.9,盐城,三线及以下,769.0,143.7,122.0,31,通过,文具零售,369.8,2842
RETL-202512-324126,零售行业,3.0,11.6,邯郸,三线及以下,792.0,259.9,184.6,47,通过,服饰零售,155.6,4126
RETL-202512-469021,零售行业,7.0,157.6,深圳,一线城市,364.0,16.4,12.0,32,通过,综合商超,503.4,4941
RETL-202512-707302,零售行业,6.0,158.6,武汉,新一线城市,687.0,379.8,276.7,52,拒绝,家电零售,716.8,6817
RETL-202512-806675,零售行业,12.0,288.3,上海,一线城市,312.0,93.7,62.4,48,通过,美妆零售,610.7,4062
RETL-202512-364526,零售行业,15.0,342.0,天津,新一线城市,606.0,857.7,557.3,75,通过,家电零售,1200.3,47670
RETL-202512-310076,零售行业,3.0,200.3,广州,一线城市,676.0,159.2,101.4,28,通过,家电零售,643.4,8251
RETL-202512-372575,零售行业,12.0,295.7,宁波,二线城市,505.0,682.4,410.9,114,通过,美妆零售,1052.2,17070
RETL-202512-624312,零售行业,20.0,493.4,沈阳,二线城市,834.0,211.4,143.2,11,通过,便利店,722.1,5130
RETL-202512-107070,零售行业,9.0,157.7,深圳,一线城市,331.0,439.7,351.5,14,拒绝,服饰零售,551.5,7113
RETL-202512-237762,零售行业,9.0,226.3,长沙,二线城市,,314.1,221.7,42,通过,生鲜零售,51.1,7272
RETL-202512-484612,零售行业,15.0,42.4,天津,新一线城市,785.0,566.2,342.3,116,通过,文具零售,863.2,25649
RETL-202512-169040,零售行业,13.0,381.6,南京,新一线城市,716.0,13.3,11.0,56,通过,综合商超,481.3,6481
RETL-202512-575478,零售行业,7.0,381.9,杭州,新一线城市,441.0,16.4,11.4,5,通过,便利店,728.3,9469
RETL-202512-735358,零售行业,4.0,486.3,唐山,三线及以下,678.0,301.4,255.3,11,拒绝,文具零售,726.5,5679
RETL-202512-030086,零售行业,1.0,443.7,常州,三线及以下,350.0,399.0,267.5,17,通过,家电零售,333.0,4733
RETL-202512-534569,零售行业,5.0,167.0,苏州,新一线城市,676.0,352.2,240.4,12,通过,服饰零售,542.9,3836
RETL-202512-627348,零售行业,5.0,408.6,深圳,一线城市,688.0,149.1,123.2,26,通过,服饰零售,478.6,3587
RETL-202512-604485,零售行业,12.0,318.4,潍坊,三线及以下,833.0,357.8,283.3,19,通过,文具零售,611.9,7246
RETL-202512-567883,零售行业,1.0,333.3,盐城,三线及以下,582.0,942.1,726.7,84,通过,文具零售,877.1,40949
RETL-202512-461296,零售行业,1.0,404.5,南京,新一线城市,831.0,219.7,177.9,20,通过,美妆零售,624.5,3234
RETL-202512-532267,零售行业,3.0,421.4,泉州,三线及以下,310.0,171.2,131.3,23,通过,美妆零售,166.0,5054
RETL-202512-306755,零售行业,14.0,76.2,常州,三线及以下,735.0,89.6,69.7,22,拒绝,美妆零售,251.1,4008
RETL-202512-177686,零售行业,9.0,447.6,哈尔滨,二线城市,721.0,227.1,149.0,47,拒绝,生鲜零售,299.2,8285
RETL-202512-089474,零售行业,12.0,466.2,厦门,二线城市,533.0,387.9,261.6,26,拒绝,服饰零售,70.9,8279
RETL-202512-502782,零售行业,12.0,233.8,南京,新一线城市,359.0,188.0,159.3,29,通过,生鲜零售,523.4,6851
RETL-202512-197521,零售行业,10.0,263.0,南京,新一线城市,853.0,380.0,235.6,33,通过,美妆零售,774.4,2089
RETL-202512-860415,零售行业,,495.3,宁波,二线城市,396.0,266.3,211.5,34,通过,生鲜零售,615.5,6846
RETL-202512-745354,零售行业,12.0,293.2,阜阳,三线及以下,1100.0,786.2,599.1,66,通过,生鲜零售,928.7,27295
RETL-202512-995771,零售行业,12.0,344.5,武汉,新一线城市,1100.0,376.0,244.4,19,通过,美妆零售,114.2,9787
RETL-202512-556932,零售行业,3.0,134.4,苏州,新一线城市,441.0,184.2,142.7,30,通过,文具零售,290.6,1852
RETL-202512-496373,零售行业,14.0,154.9,成都,新一线城市,421.0,282.1,190.4,32,通过,生鲜零售,484.1,8838
RETL-202512-886027,零售行业,3.0,233.9,沈阳,二线城市,886.0,19.7,12.0,24,通过,文具零售,198.6,5628
RETL-202512-040870,零售行业,5.0,228.5,上海,一线城市,480.0,166.2,135.8,44,通过,家电零售,297.6,2006
RETL-202512-538400,零售行业,14.0,166.5,唐山,三线及以下,409.0,361.8,217.4,17,通过,服饰零售,663.8,4866
RETL-202512-669181,零售行业,4.0,174.4,成都,新一线城市,697.0,241.0,166.8,36,通过,综合商超,374.5,6227
RETL-202512-621192,零售行业,5.0,347.1,盐城,三线及以下,1050.0,173.9,108.0,31,通过,综合商超,364.7,3722
RETL-202512-523583,零售行业,14.0,218.2,上海,一线城市,838.0,350.1,261.2,49,通过,家电零售,593.4,7830
RETL-202512-913000,零售行业,12.0,437.8,济南,二线城市,588.0,240.2,174.1,22,通过,便利店,314.1,2006
RETL-202512-658798,零售行业,30.0,305.5,西安,新一线城市,396.0,189.3,133.6,7,通过,文具零售,190.8,5639
RETL-202512-743069,零售行业,13.0,398.3,广州,一线城市,841.0,194.4,119.6,35,通过,综合商超,239.2,3126
RETL-202512-621580,零售行业,1.0,453.6,深圳,一线城市,935.0,88.0,70.0,23,通过,美妆零售,42.7,9158
RETL-202512-939078,零售行业,14.0,467.0,济南,二线城市,587.0,195.2,117.3,29,通过,便利店,321.5,4694
RETL-202512-027281,零售行业,6.0,75.9,泉州,三线及以下,344.0,29.1,17.7,55,通过,家电零售,387.0,1290
RETL-202512-358659,零售行业,2.0,228.7,潍坊,三线及以下,710.0,194.6,124.1,30,通过,服饰零售,325.0,3324
RETL-202512-364721,零售行业,7.0,31.6,上海,一线城市,727.0,231.6,196.3,15,通过,文具零售,58.8,8907
RETL-202512-165396,零售行业,14.0,303.3,重庆,新一线城市,659.0,322.7,211.0,17,通过,综合商超,270.3,1102
RETL-202512-676107,零售行业,8.0,144.8,沈阳,二线城市,739.0,279.0,183.5,28,通过,文具零售,759.9,9117
RETL-202512-556998,零售行业,15.0,301.2,大连,二线城市,925.0,246.4,204.9,17,通过,家电零售,257.6,9772
RETL-202512-125427,零售行业,13.0,82.8,成都,新一线城市,375.0,517.4,334.7,71,通过,文具零售,982.1,47799
RETL-202512-198060,零售行业,12.0,370.7,苏州,新一线城市,714.0,195.7,141.4,5,通过,便利店,415.4,1896
RETL-202512-274840,零售行业,11.0,370.0,上海,一线城市,722.0,56.9,44.6,33,通过,服饰零售,484.1,2097
RETL-202512-965473,零售行业,7.0,281.3,苏州,新一线城市,942.0,12.7,9.8,20,通过,美妆零售,564.4,8766
RETL-202512-403464,零售行业,2.0,234.0,常州,三线及以下,645.0,609.0,383.1,81,通过,综合商超,1243.1,16580
RETL-202512-950495,零售行业,13.0,350.6,厦门,二线城市,362.0,266.0,179.0,36,通过,综合商超,127.7,2259
RETL-202512-719176,零售行业,2.0,149.4,邯郸,三线及以下,505.0,848.7,676.0,111,拒绝,美妆零售,862.0,46154
RETL-202512-429754,零售行业,11.0,130.9,济南,二线城市,451.0,109.2,82.0,5,通过,综合商超,623.6,7297
RETL-202512-361646,零售行业,7.0,117.5,潍坊,三线及以下,432.0,55.0,43.5,25,通过,服饰零售,312.5,3413
RETL-202512-812809,零售行业,15.0,498.2,哈尔滨,二线城市,594.0,241.3,163.4,36,通过,美妆零售,525.5,5626
RETL-202512-617477,零售行业,10.0,168.4,唐山,三线及以下,752.0,147.3,91.1,28,通过,文具零售,251.0,2479
RETL-202512-706022,零售行业,4.0,445.1,唐山,三线及以下,449.0,271.1,173.3,9,通过,便利店,747.3,2293
RETL-202512-202853,零售行业,5.0,450.2,潍坊,三线及以下,915.0,342.1,232.6,37,通过,便利店,199.6,2066
RETL-202512-437915,零售行业,5.0,417.2,长沙,二线城市,734.0,515.8,312.6,85,通过,便利店,1233.2,15443
RETL-202512-367746,零售行业,5.0,85.1,厦门,二线城市,658.0,604.4,368.6,108,通过,美妆零售,1042.9,48139
RETL-202512-166439,零售行业,3.0,369.2,成都,新一线城市,901.0,353.7,272.3,12,通过,生鲜零售,416.9,5642
RETL-202512-927855,零售行业,6.0,153.0,重庆,新一线城市,710.0,225.7,179.7,13,通过,家电零售,308.6,7079
RETL-202512-512581,零售行业,8.0,476.5,常州,三线及以下,798.0,33.1,20.3,33,通过,服饰零售,115.5,3200
RETL-202512-252048,零售行业,14.0,288.0,潍坊,三线及以下,647.0,403.8,297.6,56,通过,生鲜零售,65.8,6323
RETL-202512-963470,零售行业,6.0,289.1,长沙,二线城市,628.0,33.5,26.8,15,通过,家电零售,781.8,1244
RETL-202512-868358,零售行业,13.0,,杭州,新一线城市,867.0,59.3,45.3,34,拒绝,家电零售,232.4,2860
RETL-202512-011634,零售行业,13.0,281.7,苏州,新一线城市,802.0,367.5,305.1,50,通过,文具零售,676.1,2618
RETL-202512-825696,零售行业,8.0,308.6,阜阳,三线及以下,,860.2,688.1,81,通过,服饰零售,1192.3,23915
RETL-202512-969590,零售行业,,435.1,潍坊,三线及以下,473.0,414.3,257.8,21,通过,家电零售,783.4,8242
RETL-202512-835980,零售行业,10.0,346.9,济南,二线城市,345.0,708.1,435.8,109,通过,生鲜零售,1365.3,23575
RETL-202512-132305,零售行业,15.0,368.9,武汉,新一线城市,305.0,214.4,166.4,15,通过,综合商超,367.9,7389
RETL-202512-335903,零售行业,11.0,319.5,厦门,二线城市,593.0,377.4,291.5,28,拒绝,便利店,652.9,2010
RETL-202512-659453,零售行业,3.0,27.0,哈尔滨,二线城市,832.0,129.7,83.4,21,通过,服饰零售,478.9,3825
RETL-202512-745095,零售行业,7.0,494.4,保定,三线及以下,492.0,75.2,47.0,40,通过,家电零售,64.9,3276
RETL-202512-864077,零售行业,20.0,441.9,厦门,二线城市,302.0,966.9,581.7,73,通过,服饰零售,1269.2,29823
RETL-202512-939156,零售行业,6.0,2000.0,天津,新一线城市,490.0,794.6,520.3,79,拒绝,文具零售,1092.9,41667
RETL-202512-073721,零售行业,8.0,432.6,济南,二线城市,751.0,70.8,59.4,32,通过,文具零售,94.1,5918
RETL-202512-675118,零售行业,11.0,194.4,济南,二线城市,700.0,158.7,104.0,5,通过,综合商超,267.1,6748
RETL-202512-115084,零售行业,3.0,316.1,成都,新一线城市,569.0,979.2,601.5,95,通过,综合商超,908.2,16900
RETL-202512-433306,零售行业,11.0,50.1,哈尔滨,二线城市,1100.0,118.7,78.1,10,通过,综合商超,713.3,7073
RETL-202512-455075,零售行业,13.0,200.9,宁波,二线城市,800.0,89.0,65.1,13,通过,家电零售,514.8,1015
RETL-202512-157099,零售行业,3.0,469.0,阜阳,三线及以下,830.0,79.0,56.3,25,通过,文具零售,677.4,5985
RETL-202512-074397,零售行业,5.0,485.6,重庆,新一线城市,729.0,839.2,508.8,60,拒绝,服饰零售,1149.5,23432
RETL-202512-940573,零售行业,8.0,363.1,苏州,新一线城市,841.0,207.3,155.2,60,通过,服饰零售,378.6,5009
RETL-202512-109114,零售行业,11.0,110.8,唐山,三线及以下,682.0,92.9,76.7,56,通过,文具零售,622.2,9716
RETL-202512-291616,零售行业,12.0,478.3,苏州,新一线城市,459.0,276.2,221.4,57,通过,综合商超,364.1,5459
RETL-202512-651352,零售行业,2.0,178.7,厦门,二线城市,404.0,290.5,176.8,45,拒绝,美妆零售,335.6,4710
RETL-202512-445812,零售行业,3.0,346.1,杭州,新一线城市,430.0,177.5,123.1,29,通过,家电零售,111.1,2372
RETL-202512-116466,零售行业,12.0,271.5,邯郸,三线及以下,744.0,469.6,371.1,23,通过,综合商超,706.7,7321
RETL-202512-884584,零售行业,15.0,147.8,长沙,二线城市,553.0,526.8,424.4,67,通过,服饰零售,1216.2,13518
RETL-202512-394776,零售行业,14.0,309.2,西安,新一线城市,479.0,773.4,464.2,85,通过,便利店,1044.0,47995
RETL-202512-705188,零售行业,8.0,480.5,潍坊,三线及以下,517.0,295.6,216.4,41,通过,文具零售,284.5,2595
RETL-202512-230725,零售行业,30.0,313.9,北京,一线城市,497.0,241.2,195.4,37,通过,服饰零售,303.7,8887
RETL-202512-354587,零售行业,11.0,111.9,厦门,二线城市,702.0,642.0,391.7,107,通过,生鲜零售,1294.0,15672
RETL-202512-276116,零售行业,8.0,33.1,广州,一线城市,815.0,250.8,158.0,26,通过,文具零售,303.5,1764
RETL-202512-520071,零售行业,14.0,442.8,青岛,二线城市,874.0,225.5,145.1,11,通过,综合商超,219.7,6385
RETL-202512-584915,零售行业,11.0,224.1,天津,新一线城市,589.0,851.1,587.2,114,拒绝,文具零售,1416.7,32013
RETL-202512-191777,零售行业,7.0,258.7,武汉,新一线城市,854.0,746.0,466.1,68,通过,综合商超,830.2,26093
RETL-202512-229979,零售行业,10.0,,西安,新一线城市,619.0,501.6,338.5,80,通过,便利店,1329.0,24216
RETL-202512-555041,零售行业,4.0,55.0,武汉,新一线城市,794.0,234.7,194.1,51,通过,文具零售,473.7,2285
RETL-202512-521230,零售行业,6.0,488.7,大连,二线城市,381.0,750.5,513.2,96,通过,家电零售,1350.8,20743
RETL-202512-608320,零售行业,6.0,121.6,北京,一线城市,944.0,867.2,575.3,108,通过,文具零售,1248.2,18997
RETL-202512-653868,零售行业,10.0,163.5,成都,新一线城市,823.0,175.0,126.3,16,通过,生鲜零售,158.5,5732
RETL-202512-386648,零售行业,2.0,75.7,重庆,新一线城市,876.0,244.0,170.9,33,通过,便利店,519.5,6931
RETL-202512-091951,零售行业,11.0,206.6,盐城,三线及以下,827.0,635.8,450.0,115,通过,美妆零售,1190.7,42704
RETL-202512-507471,零售行业,12.0,377.2,上海,一线城市,641.0,549.5,454.3,87,通过,服饰零售,1355.5,15270
RETL-202512-756567,零售行业,4.0,235.8,天津,新一线城市,766.0,263.7,197.8,20,通过,便利店,356.4,9401
RETL-202512-377838,零售行业,10.0,305.1,深圳,一线城市,784.0,,,42,通过,便利店,717.0,1206
RETL-202512-566907,零售行业,11.0,148.3,常州,三线及以下,913.0,181.3,108.9,15,通过,服饰零售,208.6,9398
RETL-202512-399948,零售行业,14.0,184.1,常州,三线及以下,846.0,362.5,280.3,12,通过,文具零售,663.1,8080
RETL-202512-266356,零售行业,3.0,294.8,青岛,二线城市,860.0,330.9,254.6,53,通过,文具零售,429.6,7284
RETL-202512-854423,零售行业,4.0,485.4,保定,三线及以下,423.0,95.1,68.3,6,通过,综合商超,402.8,9436
RETL-202512-553152,零售行业,5.0,286.0,唐山,三线及以下,771.0,110.5,76.9,49,拒绝,便利店,646.1,7757
RETL-202512-713556,零售行业,,,重庆,新一线城市,589.0,299.5,202.2,58,通过,家电零售,142.1,3029
RETL-202512-036736,零售行业,13.0,356.2,西安,新一线城市,693.0,335.7,282.5,14,通过,文具零售,409.7,2219
RETL-202512-569432,零售行业,13.0,347.4,济南,二线城市,327.0,43.9,29.1,58,通过,美妆零售,516.1,2540
RETL-202512-129148,零售行业,5.0,216.3,邯郸,三线及以下,834.0,94.8,64.7,33,通过,文具零售,265.8,3587
RETL-202512-233184,零售行业,3.0,58.4,盐城,三线及以下,436.0,351.4,238.9,46,拒绝,综合商超,235.3,3042
RETL-202512-410985,零售行业,4.0,41.6,沈阳,二线城市,535.0,488.0,344.6,15,通过,生鲜零售,735.5,1405
RETL-202512-227043,零售行业,1.0,258.4,青岛,二线城市,749.0,348.8,230.2,50,拒绝,文具零售,164.7,4929
RETL-202512-494119,零售行业,5.0,459.5,长沙,二线城市,882.0,309.8,187.1,55,通过,便利店,679.0,1741
RETL-202512-261698,零售行业,6.0,271.6,唐山,三线及以下,631.0,230.5,193.2,22,通过,美妆零售,365.1,1147
RETL-202512-861905,零售行业,12.0,322.9,杭州,新一线城市,347.0,347.6,215.7,49,通过,便利店,762.7,3466
RETL-202512-840077,零售行业,11.0,59.2,厦门,二线城市,430.0,189.7,137.7,31,通过,生鲜零售,687.0,5046
RETL-202512-665603,零售行业,8.0,430.3,武汉,新一线城市,694.0,829.4,582.1,100,拒绝,综合商超,1418.3,45542
RETL-202512-464167,零售行业,,424.9,上海,一线城市,570.0,171.0,120.5,27,通过,美妆零售,322.5,6815
RETL-202512-940711,零售行业,9.0,390.4,沈阳,二线城市,925.0,13.3,8.4,21,拒绝,生鲜零售,588.2,9946
RETL-202512-814657,零售行业,11.0,270.3,长沙,二线城市,317.0,64.0,39.2,45,拒绝,综合商超,714.2,5004
RETL-202512-984651,零售行业,4.0,119.7,济南,二线城市,544.0,713.6,428.2,108,通过,文具零售,922.6,28278
RETL-202512-397741,零售行业,9.0,289.8,大连,二线城市,818.0,28.0,17.5,34,通过,美妆零售,537.9,2497
RETL-202512-917354,零售行业,2.0,388.8,西安,新一线城市,625.0,159.3,98.6,42,通过,服饰零售,581.5,4688
RETL-202512-356182,零售行业,7.0,274.0,潍坊,三线及以下,364.0,302.0,242.1,33,通过,生鲜零售,67.1,8081
